Date,Game #,Game Type,Player, Net 
4/13/2026,1,PLO,Hiro," $ 3,020.75 "
4/13/2026,1,PLO,Rach," $ 1,830.92 "
4/13/2026,1,PLO,Andrew," $ 1,389.52 "
4/13/2026,1,PLO,Ena, $ 885.02 
4/13/2026,1,PLO,Neal, $ (250.00)
4/13/2026,1,PLO,GB, $ (400.00)
4/13/2026,1,PLO,Shiv, $ (500.00)
4/13/2026,1,PLO,Egg," $ (1,200.00)"
4/13/2026,1,PLO,Lucki," $ (1,776.21)"
4/13/2026,1,PLO,SamC," $ (3,000.00)"
4/13/2026,2,PLO,Rach, $ 378.06 
4/13/2026,2,PLO,Andrew, $ 341.77 
4/13/2026,2,PLO,Young, $ 256.85 
4/13/2026,2,PLO,Jesse, $ 249.49 
4/13/2026,2,PLO,GB, $ 225.40 
4/13/2026,2,PLO,Elaine, $ 197.58 
4/13/2026,2,PLO,JJ, $ 114.62 
4/13/2026,2,PLO,Ww, $ 63.18 
4/13/2026,2,PLO,Ena, $ (100.00)
4/13/2026,2,PLO,Sanjay, $ (200.00)
4/13/2026,2,PLO,Uz, $ (200.00)
4/13/2026,2,PLO,bigslickenergy, $ (326.95)
4/13/2026,2,PLO,Tarek," $ (1,000.00)"
4/14/2026,3,NL,YN," $ 1,005.60 "
4/14/2026,3,NL,Hiro, $ 899.68 
4/14/2026,3,NL,Hu, $ 675.02 
4/14/2026,3,NL,Ww, $ 446.83 
4/14/2026,3,NL,Rach, $ 384.50 
4/14/2026,3,NL,Draco, $ 373.69 
4/14/2026,3,NL,Egg, $ 218.73 
4/14/2026,3,NL,Young, $ 186.29 
4/14/2026,3,NL,AHH, $ 85.08 
4/14/2026,3,NL,Will X, $ 46.18 
4/14/2026,3,NL,Jamie, $ 32.20 
4/14/2026,3,NL,JZ, $ (3.40)
4/14/2026,3,NL,Arjun, $ (5.61)
4/14/2026,3,NL,Zheng, $ (20.27)
4/14/2026,3,NL,Saswoot, $ (67.00)
4/14/2026,3,NL,Shaun, $ (108.54)
4/14/2026,3,NL,Sanjay, $ (154.82)
4/14/2026,3,NL,Uz, $ (170.00)
4/14/2026,3,NL,Shiv, $ (180.70)
4/14/2026,3,NL,Albert, $ (200.00)
4/14/2026,3,NL,Ena, $ (200.69)
4/14/2026,3,NL,Tarek, $ (250.00)
4/14/2026,3,NL,JH, $ (300.00)
4/14/2026,3,NL,JL, $ (447.26)
4/14/2026,3,NL,GB, $ (499.25)
4/14/2026,3,NL,Mc," $ (1,746.26)"
4/14/2026,4,PLO,Andrew," $ 1,241.22 "
4/14/2026,4,PLO,Hiro, $ 733.50 
4/14/2026,4,PLO,Ena, $ 517.90 
4/14/2026,4,PLO,Tarek, $ 201.75 
